Chave_Geo,Nome_Freguesia,Total_Produtores,Total_Idosos,Percentagem_Baixa_Escolaridade,Area_Temporarias,Area_Permanentes,Superficie_Media_Exploracao,Percentagem_Envelhecimento
150106,Comporta,42,17,79,2105,6205,157.5,40.48
150105,São Martinho,23,5,56,1572,300,120.9,21.74
150104,Torrão,157,82,72,3860,3369,167.9,52.23
150107,União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,264,94,53,15280,13474,168.1,35.61
150501,Azinheira dos Barros e São Mamede do Sádão,59,28,50,1542,1197,201.4,47.46
150505,Carvalhal,21,8,96,397,329,29.0,38.1
150503,Melides,211,131,76,649,1412,27.8,62.09
150506,União das freguesias de Grândola e Santa Margarida da Serra,350,185,66,2992,5288,62.0,52.86
021116,Boavista dos Pinheiros,36,16,78,678,49,49.9,44.44
021118,Colos,87,38,78,3135,192,92.7,43.68
021117,Longueira/Almograve,90,35,82,4026,562,53.4,38.89
021115,Luzianes-Gare,65,40,88,1291,138,53.7,61.54
021102,Relíquias,108,54,78,1584,196,68.5,50.0
021103,Sabóia,81,39,86,2351,84,50.0,48.15
021119,Santa Clara-a-Velha,84,41,72,926,121,39.1,48.81
021106,São Luís,126,61,75,2599,497,49.8,48.41
021107,São Martinho das Amoreiras,96,53,83,1291,305,34.0,55.21
021120,São Salvador e Santa Maria,85,44,83,992,82,55.1,51.76
021121,São Teotónio,394,198,77,6529,1234,26.0,50.25
021122,Vale de Santiago,84,33,72,1943,161,85.3,39.29
021111,Vila Nova de Milfontes,110,58,84,2010,489,39.9,52.73
150901,Abela,61,27,77,903,265,122.2,44.26
150902,Alvalade,87,38,61,6653,3467,142.8,43.68
150903,Cercal,189,105,77,5204,421,45.8,55.56
150904,Ermidas-Sado,38,18,60,1443,775,121.5,47.37
150907,Santo André,111,69,79,664,136,13.1,62.16
150910,São Francisco da Serra,65,30,80,64,112,31.8,46.15
150912,"União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra",278,156,71,2151,869,37.7,56.12
