
Quadro extraído em 29 de Junho de 2026 (13:26:54)
http://www.ine.pt



Localização geográfica (NUTS - 2013);Proporção de produtores agrícolas singulares (%) por Localização geográfica (NUTS - 2013) e Nível de escolaridade -  Decenal (1) ;;;;;
;Período de referência dos dados;;;;;
;2019;;;;;
;Nível de escolaridade;;;;;
;Total;Nenhum;Básico;Secundário/Pós-secundário;Superior;
;% ;% ;% ;% ;% ;
181150106: Comporta;100;10;69;5;17;
181150105: São Martinho;100;4;52;17;26;
181150104: Torrão;100;11;61;15;14;
181150107: União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana;100;3;50;17;30;
181150501: Azinheira dos Barros e São Mamede do Sádão;100;3;47;20;29;
181150505: Carvalhal;100;10;86;5;- -;
181150503: Melides;100;15;61;13;10;
181150506: União das freguesias de Grândola e Santa Margarida da Serra;100;10;56;16;18;
181021116: Boavista dos Pinheiros;100;22;56;6;17;
181021118: Colos;100;11;67;13;9;
181021117: Longueira/Almograve;100;16;66;10;9;
181021115: Luzianes-Gare;100;23;65;3;9;
181021102: Relíquias;100;20;58;12;9;
181021103: Sabóia;100;19;67;5;10;
181021119: Santa Clara-a-Velha;100;18;54;10;19;
181021106: São Luís;100;19;56;12;13;
181021107: São Martinho das Amoreiras;100;24;59;5;11;
181021120: São Salvador e Santa Maria;100;25;58;11;7;
181021121: São Teotónio;100;18;59;9;14;
181021122: Vale de Santiago;100;12;60;12;17;
181021111: Vila Nova de Milfontes;100;25;59;12;5;
181150901: Abela;100;10;67;8;15;
181150902: Alvalade;100;1;60;16;23;
181150903: Cercal;100;16;61;11;12;
181150904: Ermidas-Sado;100;5;55;24;16;
181150907: Santo André;100;5;74;14;7;
181150910: São Francisco da Serra;100;15;65;14;6;
181150912: União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra;100;9;62;12;17;
181150913: União das freguesias de São Domingos e Vale de Água;100;10;62;8;19;
181151302: Porto Covo;100;14;64;8;14;
181151301: Sines;100;16;68;8;8;
184020102: Ervidel;100;2;76;13;9;
184020103: Messejana;100;8;62;12;18;
184020104: São João de Negrilhos;100;6;71;10;13;
184020106: União das freguesias de Aljustrel e Rio de Moinhos;100;6;66;11;17;
184020208: Aldeia dos Fernandes;100;11;67;6;17;
184020203: Rosário;100;10;61;20;10;
184020205: Santa Cruz;100;13;58;16;12;
184020206: São Barnabé;100;13;72;7;8;
