
Quadro extraído em 29 de Junho de 2026 (13:33:43)
http://www.ine.pt



Localização geográfica (NUTS - 2013);Produtores agrícolas singulares com 65 e mais anos de idade (N.º) por Localização geográfica (NUTS - 2013) -  Decenal (1) ;
;Período de referência dos dados;
;2019;
;N.º ;
181150106: Comporta;17;
181150105: São Martinho;5;
181150104: Torrão;82;
181150107: União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana;94;
181150501: Azinheira dos Barros e São Mamede do Sádão;28;
181150505: Carvalhal;8;
181150503: Melides;131;
181150506: União das freguesias de Grândola e Santa Margarida da Serra;185;
181021116: Boavista dos Pinheiros;16;
181021118: Colos;38;
181021117: Longueira/Almograve;35;
181021115: Luzianes-Gare;40;
181021102: Relíquias;54;
181021103: Sabóia;39;
181021119: Santa Clara-a-Velha;41;
181021106: São Luís;61;
181021107: São Martinho das Amoreiras;53;
181021120: São Salvador e Santa Maria;44;
181021121: São Teotónio;198;
181021122: Vale de Santiago;33;
181021111: Vila Nova de Milfontes;58;
181150901: Abela;27;
181150902: Alvalade;38;
181150903: Cercal;105;
181150904: Ermidas-Sado;18;
181150907: Santo André;69;
181150910: São Francisco da Serra;30;
181150912: União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra;156;
181150913: União das freguesias de São Domingos e Vale de Água;75;
181151302: Porto Covo;25;
181151301: Sines;48;
184020102: Ervidel;27;
184020103: Messejana;29;
184020104: São João de Negrilhos;40;
184020106: União das freguesias de Aljustrel e Rio de Moinhos;53;
184020208: Aldeia dos Fernandes;9;
184020203: Rosário;20;
184020205: Santa Cruz;45;
184020206: São Barnabé;40;
184020209: União das freguesias de Almodôvar e Graça dos Padrões;98;
184020210: União das freguesias de Santa Clara-a-Nova e Gomes Aires;145;
184020301: Alvito;61;
184020302: Vila Nova da Baronia;49;
184020401: Barrancos;85;
184020502: Baleizão;25;
184020503: Beringel;26;
184020504: Cabeça Gorda;39;
184020506: Nossa Senhora das Neves;44;
184020510: Santa Clara de Louredo;9;
184020516: São Matias;17;
184020519: União das freguesias de Albernoa e Trindade;39;
184020520: União das freguesias de Beja (Salvador e Santa Maria da Feira);51;
184020521: União das freguesias de Beja (Santiago Maior e São João Baptista);47;
184020522: União das freguesias de Salvada e Quintos;53;
184020523: União das freguesias de Santa Vitória e Mombeja;44;
184020524: União das freguesias de Trigaches e São Brissos;37;
184020603: Entradas;16;
184020604: Santa Bárbara de Padrões;19;
