
Quadro extraído em 29 de Junho de 2026 (13:39:28)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013) (1) ;Produtores agrícolas singulares (N.º) por Localização geográfica (NUTS - 2013), Sexo, Grupo etário e Natureza jurídica -  Decenal (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;Natureza jurídica;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
2019;181150106: Comporta;42;29;13;
;181150105: São Martinho;23;11;12;
;181150104: Torrão;157;125;32;
;181150107: União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana;264;193;71;
;181150501: Azinheira dos Barros e São Mamede do Sádão;59;46;13;
;181150505: Carvalhal;21;19;2;
;181150503: Melides;211;141;70;
;181150506: União das freguesias de Grândola e Santa Margarida da Serra;350;249;101;
;181021116: Boavista dos Pinheiros;36;29;7;
;181021118: Colos;87;64;23;
;181021117: Longueira/Almograve;90;75;15;
;181021115: Luzianes-Gare;65;50;15;
;181021102: Relíquias;108;78;30;
;181021103: Sabóia;81;64;17;
;181021119: Santa Clara-a-Velha;84;59;25;
;181021106: São Luís;126;97;29;
;181021107: São Martinho das Amoreiras;96;75;21;
;181021120: São Salvador e Santa Maria;85;69;16;
;181021121: São Teotónio;394;291;103;
;181021122: Vale de Santiago;84;69;15;
;181021111: Vila Nova de Milfontes;110;83;27;
;181150901: Abela;61;46;15;
;181150902: Alvalade;87;68;19;
;181150903: Cercal;189;154;35;
;181150904: Ermidas-Sado;38;27;11;
;181150907: Santo André;111;77;34;
;181150910: São Francisco da Serra;65;53;12;
;181150912: União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra;278;186;92;
;181150913: União das freguesias de São Domingos e Vale de Água;165;123;42;
;181151302: Porto Covo;59;42;17;
;181151301: Sines;75;60;15;
;184020102: Ervidel;45;33;12;
;184020103: Messejana;76;62;14;
;184020104: São João de Negrilhos;84;62;22;
;184020106: União das freguesias de Aljustrel e Rio de Moinhos;150;108;42;
;184020208: Aldeia dos Fernandes;18;12;6;
;184020203: Rosário;41;30;11;
;184020205: Santa Cruz;89;67;22;
;184020206: São Barnabé;72;57;15;
;184020209: União das freguesias de Almodôvar e Graça dos Padrões;207;146;61;
;184020210: União das freguesias de Santa Clara-a-Nova e Gomes Aires;213;143;70;
;184020301: Alvito;126;78;48;
;184020302: Vila Nova da Baronia;104;77;27;
;184020401: Barrancos;191;139;52;
;184020502: Baleizão;52;43;9;
;184020503: Beringel;42;26;16;
;184020504: Cabeça Gorda;71;50;21;
;184020506: Nossa Senhora das Neves;109;89;20;
;184020510: Santa Clara de Louredo;25;15;10;
;184020516: São Matias;35;26;9;
;184020519: União das freguesias de Albernoa e Trindade;93;68;25;
;184020520: União das freguesias de Beja (Salvador e Santa Maria da Feira);106;89;17;
;184020521: União das freguesias de Beja (Santiago Maior e São João Baptista);78;57;21;
;184020522: União das freguesias de Salvada e Quintos;140;97;43;
;184020523: União das freguesias de Santa Vitória e Mombeja;110;86;24;
;184020524: União das freguesias de Trigaches e São Brissos;74;61;13;
