
Quadro extraído em 29 de Junho de 2026 (13:46:54)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície agrícola utilizada (ha) por Localização geográfica (NUTS - 2013), Composição da superfície agrícola utilizada e Classes de superfície agrícola utilizada -  Decenal (1) ;;;
;;Composição da superfície agrícola utilizada;;;
;;Terras aráveis;Culturas permanentes;Pastagens permanentes;
;;Classes de superfície agrícola utilizada;;;
;;Total;;;
;;ha ;ha ;ha ;
2019;181150106: Comporta;2105;6205;195;
;181150105: São Martinho;1572;300;1870;
;181150104: Torrão;3860;3369;28688;
;181150107: União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana;15280;13474;37320;
;181150501: Azinheira dos Barros e São Mamede do Sádão;1542;1197;12567;
;181150505: Carvalhal;397;329;58;
;181150503: Melides;649;1412;4254;
;181150506: União das freguesias de Grândola e Santa Margarida da Serra;2992;5288;15864;
;181021116: Boavista dos Pinheiros;678;49;1763;
;181021118: Colos;3135;192;5935;
;181021117: Longueira/Almograve;4026;562;1977;
;181021115: Luzianes-Gare;1291;138;2112;
;181021102: Relíquias;1584;196;6222;
;181021103: Sabóia;2351;84;1756;
;181021119: Santa Clara-a-Velha;926;121;2426;
;181021106: São Luís;2599;497;4013;
;181021107: São Martinho das Amoreiras;1291;305;1835;
;181021120: São Salvador e Santa Maria;992;82;3986;
;181021121: São Teotónio;6529;1234;4737;
;181021122: Vale de Santiago;1943;161;6001;
;181021111: Vila Nova de Milfontes;2010;489;2286;
;181150901: Abela;903;265;8358;
;181150902: Alvalade;6653;3467;7160;
;181150903: Cercal;5204;421;4160;
;181150904: Ermidas-Sado;1443;775;3978;
;181150907: Santo André;664;136;743;
;181150910: São Francisco da Serra;64;112;2003;
;181150912: União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra;2151;869;8249;
;181150913: União das freguesias de São Domingos e Vale de Água;3776;191;10780;
;181151302: Porto Covo;2120;196;829;
;181151301: Sines;1961;59;856;
