
Quadro extraído em 29 de Junho de 2026 (13:54:42)
http://www.ine.pt



Localização geográfica (Região agrária/ Ilha);Superfície agrícola utilizada média por exploração (ha) por Localização geográfica (Região agrária/ Ilha) -  Decenal (1) ;
;Período de referência dos dados;
;2019;
;ha ;
106070104: Capelins (Santo António);46,8;
106070103: Santiago Maior;37,7;
106070105: Terena (São Pedro);47;
106070107: União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto);94,7;
106150106: Comporta;157,5;
106150105: São Martinho;120,9;
106150104: Torrão;167,9;
106150107: União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana;168,1;
106020102: Ervidel;48,7;
106020103: Messejana;98,5;
106020104: São João de Negrilhos;47,5;
106020106: União das freguesias de Aljustrel e Rio de Moinhos;105,4;
106020208: Aldeia dos Fernandes;65,6;
106020203: Rosário;121,6;
106020205: Santa Cruz;76,6;
106020206: São Barnabé;28,1;
106020209: União das freguesias de Almodôvar e Graça dos Padrões;87,4;
106020210: União das freguesias de Santa Clara-a-Nova e Gomes Aires;54,4;
106120101: Alter do Chão;112,8;
106120102: Chancelaria;90,7;
106120104: Cunheira;142,9;
106120103: Seda;116,9;
106020301: Alvito;76,7;
106020302: Vila Nova da Baronia;70,3;
106070201: Arraiolos;154,7;
106070202: Igrejinha;170,1;
106070208: União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro;127,6;
106070209: União das freguesias de São Gregório e Santa Justa;171,5;
106070206: Vimieiro;133,9;
106120201: Assunção;126,2;
106120202: Esperança;25;
106120203: Mosteiros;76,6;
106120302: Aldeia Velha;106,7;
106120303: Avis;65,3;
106120305: Ervedal;61,7;
106120306: Figueira e Barros;151,6;
106120309: União das freguesias de Alcórrego e Maranhão;171,2;
106120310: União das freguesias de Benavila e Valongo;131,4;
106020401: Barrancos;62;
106020502: Baleizão;146,1;
106020503: Beringel;23,9;
106020504: Cabeça Gorda;73,4;
106020506: Nossa Senhora das Neves;30,9;
106020510: Santa Clara de Louredo;94,3;
106020516: São Matias;217,9;
106020519: União das freguesias de Albernoa e Trindade;180,5;
106020520: União das freguesias de Beja (Salvador e Santa Maria da Feira);18,1;
106020521: União das freguesias de Beja (Santiago Maior e São João Baptista);62,4;
106020522: União das freguesias de Salvada e Quintos;81,4;
106020523: União das freguesias de Santa Vitória e Mombeja;95,8;
